Name,GID,Source,Xa4,xa5,Xa7,xa13,Xa21,Pita,Pi9,Pi54,Pi35(t)
IR 99091-B-B-B-224-3,300052133,IRRI,,R,,S,S,S,S,S,
IR16A2961,4789370,IRRI,,R,,S,S,R,S,S,
IR16A3510,4815738,IRRI,,S,,S,S,R,S,S,
IR 103806:35-B RGA,4194561,IRRI,,R,,S,S,R,S,S,
IR 106435-B-B-B-B-68,300233315,IRRI,,S,,S,S,R,S,S,
IR 106224-B-B-B-B-46,300233747,IRRI,,R,,S,S,R,S,S,
IR 100721-B-B-B-B-60,300041209,IRRI,,R,,S,S,R,S,S,
IR 103314-B-B RGA-B RGA-38,300288315,IRRI,,,,S,S,R,S,S,
IR 100756-B-B-B-B-54,300041558,IRRI,,S,,S,S,R,,S,
IR15A1111,4393019,IRRI,,R,,S,S,S,S,S,
IR16A3547,4815775,IRRI,,R,,S,S,R,S,S,
IR 100124-B-B-B-B-47-1-1,300256516,IRRI,,S,,S,R,R,S,S,
IR15A1103,4395286,IRRI,,S,,S,S,R,S,S,
IR 103713-B-B RGA-B RGA-B RGA-421,300295099,IRRI,,S,,S,S,R,S,S,
IR 103298-B-B RGA-B RGA-514-1,300251200,IRRI,,,,S,S,R,S,S,
IR15A1132,4391128,IRRI,,R,,S,S,R,S,S,
IR 106457-B-B-B-B-15,300233941,IRRI,,S,,S,S,R,S,S,
IR 108007-B-B RGA-B RGA-107,300296705,IRRI,,R,,S,S,S,S,S,
IR 99994-B-B-B-B-B-3,300233441,IRRI,,S,,S,S,R,S,,
IR 99106-B-B-B-B-21,300040166,IRRI,,R,,S,S,R,S,S,
IR 103328-B-B RGA-B RGA-158,300288685,IRRI,,S,,S,R,R,S,S,
IR15A3423,300172680,IRRI,,S,,S,S,R,S,S,
IR 103297-B-B-B-B-B-71,300233553,IRRI,,R,,S,S,R,S,S,
IR 103757-B-B RGA-B RGA-B RGA-482,300296530,IRRI,,R,,S,R,R,S,S,
IR 106224-B-B-B-B-17,300233718,IRRI,,R,,S,S,R,S,S,
IR15A2804,300080449,IRRI,,R,,S,S,R,S,S,
IR 106454-B-B-B-B-48,300234559,IRRI,,S,,S,S,S,S,S,
IR15A3577,300173106,IRRI,,R,,S,S,R,S,S,
IR 99994-B-B-B-B-B-37,300233475,IRRI,,S,,S,S,R,S,R,
IR 103328-B-B RGA-B RGA-224,300288751,IRRI,,R,,S,R,R,S,S,
IR 100007-B RGA-B RGA-B RGA-20,300033619,IRRI,,S,,S,S,R,S,S,
IR 103713-B-B RGA-B RGA-B RGA-191,300294869,IRRI,,S,,S,R,R,S,S,
IR15A1796,4391648,IRRI,,S,,S,S,S,S,S,
IR 98427-B-B-B-B-12,300035780,IRRI,,R,,S,S,R,S,S,
IR 106436-B-B RGA-B RGA-B RGA-308,300291743,IRRI,,S,,S,S,R,S,S,
IR 103757-B-B RGA-B RGA-B RGA-323,300296371,IRRI,,S,,S,S,R,S,S,
IR 106436-B-B RGA-B RGA-B RGA-362,300291797,IRRI,,R,,S,S,S,S,S,
IR 100707-B-B RGA-B RGA-B RGA-256,300293231,IRRI,,R,,S,S,R,S,S,
IR 100707-B-B RGA-B RGA-B RGA-343,300293318,IRRI,,R,,S,S,S,S,S,
GVT4-1-1-2-3-4,4812689,IRRI,,S,,S,S,R,S,S,
IR 106449-B-B-B-B-22,300234175,IRRI,,R,,S,R,S,S,S,
IR16A2758,4788852,IRRI,,S,,S,S,S,S,S,
IR 106441-B-B-B-B-42,300233438,IRRI,,S,,S,S,R,S,R,
IR 100707-B-B RGA-B RGA-B RGA-140,300293115,IRRI,,S,,S,R,R,S,S,
IR 106449-B-B RGA-B RGA-B RGA-224,300292179,IRRI,,R,,S,R,R,S,S,
IR 106224-B-B-B-B-8,300233709,IRRI,,R,,S,S,R,S,S,
IR 122304:2-2-9,300166958,IRRI,,S,,S,,R,S,S,
IR 103277-B-B-B-B-B-9,300233822,IRRI,,S,,S,S,R,S,S,
IR15A2917,300167019,IRRI,,S,,S,S,R,S,S,
GVT-2-1-2-3-4-5-21,4812686,IRRI,,S,,S,S,R,S,S,
IR 106436-B-B RGA-B RGA-B RGA-274,300291709,IRRI,,R,,S,S,R,S,S,
IR16A2702,300431662,IRRI,,R,,S,S,R,S,S,
IR15A3943,300252385,IRRI,,,,,,,,,
IR 103713-B-B RGA-B RGA-B RGA-17,300294695,IRRI,,R,,S,S,R,S,S,
IR 106449-B-B RGA-B RGA-B RGA-349,300292304,IRRI,,R,,S,S,R,S,S,
IR15A1029,4391978,IRRI,,S,,S,S,R,S,S,
IR 100124-B-B-B-B-6-1-1,300256508,IRRI,,,,S,S,R,S,S,
GVT3-1-1-2-3-4-5,4812687,IRRI,,S,,S,S,R,,S,
IR 103291-B-B-B-B-B-25,300233598,IRRI,,R,,S,S,R,S,S,
IR 106436-B-B RGA-B RGA-B RGA-352,300291787,IRRI,,R,,S,S,R,S,S,
IR 103291-B-B-B-B-B-62,300233635,IRRI,,S,,S,S,R,S,S,
IR 103725-B-B-B-B-19,300234081,IRRI,,,,S,R,,S,S,
IR 103713-B-B RGA-B RGA-B RGA-20,300294698,IRRI,,R,,S,R,R,S,S,
IR 115838:5-5-5,300166623,IRRI,,S,,S,,R,S,S,
IR 100707-B-B RGA-B RGA-B RGA-158,300293133,IRRI,,S,,S,R,R,S,S,
